descricao;empenhado;liquidado;pago
"711 - SECRETARIA DE ESTADO DE COMUNICAÇÃO- SECOM";"25.947.139,51";"22.521.186,22";"22.085.190,11"
"711 - FUNDAÇÃO ALDEIA DE COMUNICAÇÃODO ACRE - FUNDAC";"385.385,31";"379.985,31";"379.985,31"
"713 - SECRETARIA DE ESTADO DEPLANEJAMENTO - SEPLAN";"25.986.376,75";"19.751.778,66";"16.055.567,90"
"714 - SECRETARIA DE ESTADO DEADMINISTRAÇÃO - SEAD";"28.377.168,92";"22.153.156,71";"22.102.657,97"
"714 - SECRETARIA DE ESTADO DEADMINISTRAÇÃO - SEAD";"1.246.968.575,23";"1.246.967.716,70";"1.241.646.293,65"
"714 - INSTITUTO DE PREVIDÊNCIA DO ESTADODO ACRE - ACREPREVIDÊNCIA";"26.679.810,14";"16.386.287,87";"16.353.873,63"
"714 - FUNDES - FOLHA DE PAGAMENTO DEPESSOAL / SAÚDE";"747.409.886,58";"747.409.886,58";"746.907.820,38"
"714 - FUNDO DE DESENV.DE RECURSOS HUMANOSDO ESTADO DO ACRE";"3.886.101,27";"2.282.876,31";"2.269.575,09"
"714 - FUNDO DE PREVIDÊNCIA SOCIAL DOESTADO DO ACRE";"1.282.007.670,41";"1.282.007.670,41";"1.282.000.768,90"
"714 - FUNDO DE GESTÃO PATRIMONIAL DOESTADO DO ACRE";"30.500,00";"10.500,00";"10.500,00"
"715 - SECRETARIA DE ESTADO DA FAZENDA -SEFAZ";"75.132.496,17";"58.181.268,63";"50.090.315,95"
"715 - SECRETARIA DE ESTADO DA FAZENDA -SEFAZ";"974.777.809,18";"974.777.327,10";"924.122.240,56"
"715 - JUNTA COMERCIAL DO ESTADO DO ACREJUCEAC";"5.045.150,43";"3.897.830,09";"3.863.687,61"
"715 - COMPANHIA DE DESENVOLV. INDUST. DOESTADO DO ACRE - CODISACRE";"3.597.025,99";"3.597.025,99";"3.471.577,32"
"715 - COMPANHIA DE COLONIZAÇÃO DO ACRE -COLONACRE EM LIQUIDAÇÃO ORDINÁRIA";"8.240,12";"8.240,12";"8.215,00"
"715 - COMPANHIA DE HABITAÇÃO DO ACRE -COHAB/ACRE";"8.024.203,98";"7.565.276,27";"7.405.568,30"
"715 - COMPANHIA INDUSTRIAL DE LATICÍNIOSDO ACRE - CILA";"2.025.295,53";"2.025.295,53";"1.952.411,61"
"715 - BANCO DO ESTADO DO ACRE S.A. -BANACRE EM LIQUIDAÇÃO ORDINÁRIA";"1.209.849,90";"1.209.849,90";"1.209.849,90"
"715 - COMPANHIA DE DESENVOLV. E SERVIÇOSAMBIENTAIS DO ESTADO DO ACRE - CDSA";"2.274.376,99";"2.088.864,42";"2.082.357,42"
"715 - FUNDES- GASTOS CORPORATIVOS";"24.490.159,48";"24.490.159,48";"24.357.930,30"
"715 - FUNDO PERMANENTE DE RECUPERAÇÃO DEATIVOS - FUNDO CIRA";"0,00";"0,00";"0,00"
"717 - SECRETARIA DE ESTADO DA EDUCAÇÃO,CULTURA E ESPORTES - SEE";"777.560.891,32";"585.854.881,73";"542.223.710,98"
"717 - INSTITUTO ESTADUAL DE EDUCAÇÃOPROFISSIONAL E TECNOLÓGICA - IEPTEC";"40.481.342,35";"36.055.300,38";"35.787.750,21"
"717 - FUNDAÇÃO DE CULTURA E COMUNICAÇÃOELIAS MANSOUR - FEM";"36.948.374,19";"34.510.893,51";"33.288.364,22"
"717 - FUNDO DE MANUTENÇÃO E DESENVOLVI -MENTO DA EDUCAÇÃO BÁSICA - FUNDEB";"1.036.122.715,27";"985.898.825,07";"976.628.756,57"
"717 - FUNDO ESTADUAL DE FOMENTO À CULTURA- FUNCULTURA";"301.969,36";"1.969,36";"0,00"
"718 - SECRETARIA EXTRAORDINÁRIA DE ESPOR-TE E LAZER - SEEL";"25.753.103,54";"21.650.021,84";"19.234.036,16"
"719 - SECRETARIA DE ESTADO DA JUSTIÇA ESEGURANÇA PÚBLICA - SEJUSP";"46.568.392,89";"22.952.996,97";"18.132.542,72"
"719 - DEPARTAMENTO ESTADUAL DE TRÂNSITO -DETRAN";"103.547.310,83";"76.716.386,39";"76.713.048,14"
"719 - INSTITUTO DE ADMINISTRAÇÃO PENITEN-CIÁRIA - IAPEN";"70.107.894,97";"63.361.829,73";"51.395.543,36"
"719 - INSTITUTO SÓCIO EDUCATIVO DO ACRE -ISE";"13.044.853,89";"9.487.312,59";"8.374.339,31"
"719 - FUNDO PENITENCIÁRIO DO ESTADO DOACRE";"1.110.563,69";"574.003,13";"566.463,65"
"719 - FUNDO ESTADUAL DE SEGURANÇA PÚBLICA- FUNDESEG";"33.772.314,96";"12.745.852,70";"12.701.020,83"
"720 - SECRETARIA DE ESTADO DO MEIO AMBIENTE SEMA";"8.892.579,84";"5.757.880,62";"5.230.669,88"
"720 - INSTITUTO DE MEIO AMBIENTE DO ACREIMAC";"3.241.341,06";"2.143.759,47";"2.061.499,71"
"720 - INSTITUTO DE MUDANÇAS CLIMÁTICAS EREGULAÇÃO DOS SERV. AMBIENTAIS -IMC";"2.649.630,79";"1.575.420,06";"1.568.084,34"
"720 - FUNDO ESTADUAL DE COMANDO E CONTRO-LE AMBIENTAL";"4.793.217,43";"3.570.753,12";"3.570.753,12"
"720 - FUNDO ESTADUAL DE MEIO AMBIENTE EFLORESTAS";"530.912,10";"515.430,53";"515.430,53"
"721 - FUNDAÇÃO HOSPITAL ESTADUAL DO ACRE-FUNDHACRE";"126.389.390,18";"104.329.614,00";"88.297.441,52"
"721 - FUNDO ESTADUAL DE SAÚDE - FUNDES";"835.923.254,86";"746.820.908,24";"656.700.486,44"
"722 - SECRETARIA EXTRAORDINÁRIA DOS POVOSINDÍGENAS - SEPI";"10.873.726,12";"8.867.703,80";"8.049.809,72"
"744 - SECRETARIA DE ESTADO DE HABITAÇÃO EURBANISMO - SEHURB";"65.209.551,06";"25.385.547,75";"23.926.387,97"
"744 - DEPTO.DE ESTRA.DE RODAGEM,INFRAEST.HIDROV.E AEROPORTUÁRIA - DERACRE";"314.989.808,95";"279.476.147,65";"269.198.262,12"
"744 - INSTITUTO DE TERRAS DO ACREITERACRE";"25.522.473,49";"25.118.953,57";"23.689.658,64"
"744 - FUNDO ESTADUAL DE HABITAÇÃO - FEH";"183.774,05";"182.451,00";"182.451,00"
"753 - SECRETARIA DE ESTADO DE AGRICULTURA- SEAGRI";"64.300.995,56";"33.014.219,20";"30.496.574,46"
"753 - INSTITUTO DE DEFESA AGROPECUÁRIAFLORESTAL - IDAF";"17.074.849,43";"14.231.910,63";"14.215.796,74"
"753 - COMPANHIA DE ARMAZÉNS E ENTREPOSTOSDO ACRE - CAGEACRE";"11.962.612,70";"11.133.250,58";"10.906.974,40"
"753 - EMPRESA DE ASSISTÊNCIA TÉCNICA EEXTENSÃO RURAL DO ACRE - EMATER/AC";"16.535.765,29";"16.006.981,34";"15.816.890,36"
"753 - FUNDO AGROPECUÁRIO - FUNAGRO";"1.399.339,30";"1.328.259,30";"1.326.971,18"
"754 - SECRETARIA DE ESTADO DE OBRASPÚBLICAS - SEOP";"92.016.587,42";"54.054.010,37";"50.012.642,57"
"754 - SERVIÇO DE ÁGUA E ESGOTO DO ESTADODO ACRE - SANEACRE";"64.001.485,56";"52.032.505,69";"49.774.017,56"
"754 - AGÊNCIA REGULADORA DOS SERVIÇOSPÚBLICOS DO ESTADO DO ACRE-AGEACRE";"3.296.225,13";"2.836.917,46";"2.819.305,69"
"754 - COMPANHIA DE SANEAMENTO DO ACRE -SANACRE";"257.116,23";"257.116,23";"257.018,39"
"759 - SECRETARIA DE ESTADO DE TURISMO EEMPREENDEDORISMO - SETE";"20.447.586,54";"19.960.113,94";"19.448.626,87"
"760 - SECRETARIA DE ESTADO DE ASSISTÊNCIASOCIAL E DIREITOS HUMANOS - SEASDH";"21.278.320,84";"14.881.050,01";"13.162.531,20"
"760 - INSTITUTO DE PROTEÇÃO E DEFESA DOCONSUMIDOR DO ACRE - PROCON/AC";"3.038.212,50";"2.648.554,88";"2.442.068,34"
"760 - FUNDO DO DIREITO DA CRIANÇA E DOADOLESCENTE - FDCA";"62.888,99";"3.332,99";"3.332,99"
"760 - FUNDO DE ASSITÊNCIA SOCIAL - FEAS";"14.772.384,11";"13.467.681,72";"12.840.297,71"
"760 - FUNDO ESTADUAL DE DEFESA DOCONSUMIDOR - FEDC";"113.181,79";"113.181,79";"113.181,79"
"760 - FUNDO ESTADUAL DE DIREITOS DA PES-SOA IDOSA DO ACRE";"3.093,79";"1.318,00";"1.318,00"
"761 - SECRETARIA DE ESTADO DE INDÚSTRIA,CIÊNCIA E TECNOLOGIA - SEICT";"48.433.060,62";"47.357.710,75";"46.755.826,37"
"761 - INSTITUTO DE PESOS E MEDIDAS DOESTADO DO ACRE - IPEM";"1.973.806,82";"1.544.555,08";"1.544.555,08"
"761 - FUNDAÇÃO DE TECNOLOGIA DO ESTADO DOACRE - FUNTAC";"3.327.419,29";"2.632.488,57";"2.534.581,87"
"761 - FUNDAÇÃO DE AMPARO A PESQUISA DOESTADO DO ACRE - FAPAC";"3.478.602,47";"3.387.014,75";"3.377.778,91"
"761 - EMPRESA DE PROCESSAMENTO DE DADOSACREDATA";"9.267.060,95";"9.267.060,95";"9.267.060,95"
"761 - AGÊNCIA DE NEGÓCIOS DO ACRE - ANAC";"6.911.638,13";"6.840.196,06";"6.763.550,12"
"761 - FUNDO DE DESENVOLVIMENTOSUSTENTÁVEL - FDS";"5.709.507,97";"5.458.729,16";"5.457.584,16"
"762 - SECRETARIA DE ESTADO DA MULHER -SEMULHER";"7.597.417,00";"5.145.846,98";"4.952.233,91"
