descricao;empenhado;liquidado;pago
"ABIGAIL FERREIRA DA SILVA - 04287724208";"400,00";"400,00";"400,00"
"ABIGAIL SUNAMITA SANTOS DO NASCIMENTO - 01722685247";"18.000,00";"18.000,00";"18.000,00"
"ABILIO SILVA MOURAO NETO - 21677654287";"45.958,16";"45.958,16";"45.958,16"
"ABIMAEL CARVALHO BARROS - 04692166207";"1.140,00";"1.140,00";"1.140,00"
"A B MAGALHAES - 24537355000182";"11.788,08";"9.633,50";"9.633,50"
"ABNE NASCIMENTO SILVA - 07958952244";"600,00";"600,00";"600,00"
"ABNER MIRANDA VASQUES TORRES - 02937629296";"20.130,00";"4.495,70";"4.495,70"
"ABQV - ASSOCIACAO BRASILEIRA DE QUALIDADE DE VIDA - 01045397000109";"6.240,00";"0,00";"0,00"
"ABRAÃO ALMEIDA CANDIDO - 94548846204";"1.793,57";"1.793,57";"1.793,57"
"ABRAAO BRITO DO CARMO - 04278391226";"340,00";"340,00";"340,00"
"ABRAAO DA SILVA LIMA - 00135898226";"5.581,98";"5.581,98";"5.152,61"
"ABRAAO ELIAS ABUGOCHE PAES LEME - 49513770206";"48.408,58";"48.408,58";"48.408,58"
"ABRAÃO MENDES FIGUEREDO - 87364581200";"4.145,61";"4.145,61";"4.145,61"
"ABRAAO NEGREIROS DE OLIVEIRA - 73646598204";"538,12";"538,12";"538,12"
"ABRAÃO NKAXINAWÁ  DA SILVA - 04928145208";"1.020,00";"1.020,00";"1.020,00"
"ABRAAO NOGUEIRA DE OLIVEIRA - 06747695208";"1.430,00";"1.430,00";"1.430,00"
"ABRAAO ROSA DA SILVA - 09090845216";"312,00";"312,00";"0,00"
"ABRAAO SILAS MESQUITA DE SOUZA - 90720563291";"143,12";"143,12";"143,12"
"ABRAAO SILVA DE OLIVEIRA - 60957840268";"968,62";"968,62";"968,62"
"ABRAÃO SOUZA DOS SANTOS - 06128781209";"710,00";"710,00";"710,00"
"ABRAHAO SOUZA DE ALMEIDA - 66929237272";"1.076,24";"538,12";"538,12"
"ABREU E TORRES COMERCIO E SERVICOS IMP E - 55217591000145";"615.102,00";"591.116,00";"591.116,00"
"ABRHAO CARLOS MOTA PUPIO - 84040483200";"7.490,02";"7.490,02";"7.490,02"
"ABSALON BADER - 01230541250";"11.306,85";"11.306,85";"9.446,23"
"ABS COMERCIO E SERVIÇOS EIRELI - 21760021000185";"9.799.794,35";"4.659.850,24";"4.633.388,68"
"ABSOLUTA SAUDE IMP. EXP. E COMERCIO DE P - 30082076000174";"53.109,30";"0,00";"0,00"
"ABSOLUT TECHNOLOGIES PROJETOS E CONSULTORIA LTDA - 02423819000197";"912.165,48";"0,00";"0,00"
"ACADEMIA ACREANA DE LETRAS - 06923233000142";"70.947,84";"70.947,84";"70.947,84"
"ACADEMIA JUVENIL ACREANA DE LETRAS - 24207081000163";"100.000,00";"100.000,00";"100.000,00"
"ACADEMIA NORTE RIOGRANDENSE DE CIENCIAS CONTABEIS - 08380206000104";"1.200,00";"0,00";"0,00"
"ACADEMIA VITORINO E MENDONCA LTDA - 43434728000134";"27.000,00";"12.000,00";"3.000,00"
"A C CAVALCANTE LTDA - 06093772000100";"730.044,40";"30.144,40";"30.144,40"
"ACCORD FARMACEUTICA LTDA - 64171697000499";"248.680,00";"205.160,00";"47.590,00"
"AC DISTRIBUIDORA IMP E EXP LTDA - 05508816000144";"330.094,00";"39.496,92";"39.496,92"
"AC  EMPREENDIMENTOS E NEGOCIOS LTDA - 22173882000120";"76.968,00";"36.650,00";"36.650,00"
"ACENT RADIO COMUNICACAO COMERCIO E SERVICOS LTDA - 13765143000136";"39.750,00";"0,00";"0,00"
"ACLECION SILVA DO NASCIMENTO - 00311117260";"4.050,00";"3.600,00";"3.600,00"
"ACLEITON TORRES DE ASSIS - 32257007204";"9.432,26";"9.432,26";"9.432,26"
"ACLEITO SOARES DE SOUZA - 03971905226";"590,00";"590,00";"590,00"
"A C L PEREIRA - 13505179000180";"298.647,44";"0,00";"0,00"
"A. C. NASCIMENTO - 36178547000129";"291.109,79";"0,00";"0,00"
"ACO AMAZON DIGITAL CERTIFICADORA LTDA - 21196601000191";"815,00";"815,00";"815,00"
"A. COSTA DE OLIVEIRA - 11547261000142";"13.172,80";"13.172,80";"13.172,80"
"ACP COMERCIO - 20473312000120";"5.052,00";"0,00";"0,00"
"ACQUALIMP PRODUTOS QUIMICOS LTDA - 34704593000199";"277.373,71";"161.150,68";"93.004,72"
"ACREAR COMERCIO E SERVICOS ELTROELETRONI - 35725765000173";"508.970,82";"294.054,87";"165.464,75"
"ACRE COMERCIO E ADMINISTRACAO LTDA - 63605653000114";"504.396,83";"469.124,04";"469.124,04"
"ACREDIESEL COMERCIAL DE VEICULOS LTDA - 04043949000120";"772.633,00";"0,00";"0,00"
"ACRE FRIO AR CONDICIONADO LTDA - 10889815000127";"194.837,70";"71.787,27";"57.481,63"
"ACRE IMPORT COMERCIO E REPRESENTACAO LTD - 40096477000137";"53.027,14";"31.132,44";"31.132,44"
"ACRE IND REP COM E PROJ EM INCENDIO LTDA - 21467044000104";"163.462,80";"140.026,80";"140.026,80"
"ACRELÂNIA VIANA DO NASCIMENTO - 10478185235";"960,00";"960,00";"960,00"
"ACRELIMP SERVICOS DE LIMPEZA LTDA - 06239786000180";"2.904.162,52";"1.571.542,93";"1.107.696,49"
"ACRENAUTICA COMERCIO E SERVICOS LTDA - 05729287000109";"115.467,00";"103.137,00";"103.137,00"
"ACRE PARAFUSOS LTDA - 02301164000184";"0,00";"0,00";"0,00"
"ACRE SEGURANCA DIGITAL LTDA - 23995205000150";"4.435,77";"1.494,77";"1.494,77"
"ACRETEC COMERCIO E REPRESENTACAO LTDA. - 04475329000160";"966.000,00";"630.000,00";"630.000,00"
"ACRICIA DOMINGOS ASSIS - 00189232242";"2.316,81";"2.316,81";"2.316,81"
"ACRIRLENE MARIA MORAIS DO VINO - 37281631200";"4.718,15";"4.718,15";"0,00"
"ACRONET CORP COM E SERV EIRELI EPP - 15512542000110";"444.506,66";"444.506,66";"383.547,36"
"AC SERVICOS DE ALIMENTACAO EIRELI - 07112520000135";"2.183.394,65";"2.183.394,65";"2.183.394,65"
"ACSON VIEIRA DE SOUZA - 00779309243";"14.362,04";"14.362,04";"14.362,04"
"AC TELECOM LTDA - 49860915000166";"1.960,00";"840,00";"560,00"
"ADACIR VIVAN - 73100927249";"2.206,49";"2.206,49";"2.206,49"
"ADA CLEIA SICHINEL DANTAS BOABAID - 79043038253";"5.648,26";"5.648,26";"5.648,26"
"ADAI JOSE CAVACO DA SILVA - 77033965249";"1.877,86";"1.877,86";"1.877,86"
"ADAILDO JOSE DE LIMA PEREIRA - 52326950291";"960,09";"960,09";"960,09"
"ADAILDO SOARES MOREIRA - 34036180215";"6.942,65";"6.942,65";"6.942,65"
"ADAILDO TEIXEIRA AFONSO - 02060453283";"400,00";"400,00";"400,00"
"ADAILSON CEZORI DE SOUSA - 02277852236";"1.124,62";"1.124,62";"1.124,62"
"ADAILTON DA SILVA E SOUZA - 01375764128";"31.200,95";"31.200,95";"31.200,95"
"ADAILTON FEITOZA DE SOUZA DOS SANTOS - 64839931291";"304,00";"304,00";"304,00"
"ADAIRES ROSAS OLIVEIRA - 88789314204";"2.412,33";"2.412,33";"2.412,33"
"ADALBERTO ELIAS LOPES CUNHA JUNIOR - 06834657240";"360,00";"360,00";"360,00"
"ADALBERTO LIMA DA SILVA - 33999279249";"3.517,50";"3.517,50";"3.517,50"
"ADALBERTO OLIVEIRA LIMA - 13841599249";"5.428,63";"5.428,63";"5.428,63"
"ADALBERTO QUEIROZ DE MELO - 02491370204";"15.000,00";"15.000,00";"15.000,00"
"ADALCICLEIA SILVA DE SOUZA - 77631404291";"288,00";"288,00";"288,00"
"ADA LETICIA LEITE DE OLIVEIRA - 07377122285";"320,00";"320,00";"320,00"
"ADALGISA BANDEIRA DE ARAUJO - 11274034272";"15.249,34";"15.249,34";"15.249,34"
"ADALGISA DE OLIVEIRA PINTO - 04034484000140";"10.000,00";"10.000,00";"10.000,00"
"ADALGIZA BATISTA DE ARAÚJO SILVA - 67349480210";"320,00";"320,00";"320,00"
"ADALIO PONTE DE SOUZA - 48360643253";"4.557,36";"4.557,36";"4.557,36"
"ADA LUZ ARACELY DA SILVA ALANIA - 99773740234";"24.720,00";"24.720,00";"24.720,00"
"ADAMA MARIA QUEIROZ FIGUEIREDO - 93150296234";"1.029,02";"1.029,02";"1.029,02"
"ADAM DE SOUZA ANASTACIO - 03260131213";"860,99";"860,99";"860,99"
"ADAN MARX XIMENES COELHO - 01008652326";"18.208,65";"18.208,65";"0,00"
"ADAO ALENCAR DA SILVA - 70818339268";"7.326,27";"7.326,27";"7.326,27"
"ADAS GOMES DE DEUS - 76593061204";"12.561,29";"12.561,29";"12.561,29"
"ADAUTO NOGUEIRA DE PAULA OLIVEIRA - 95963626234";"7.728,72";"7.728,72";"7.728,72"
"ADA VASTI PERALTA JANAMPA - 71667859188";"300,00";"300,00";"300,00"
"ADDYSON THIAGO SILVA MENDONÇA - 00888464231";"968,62";"968,62";"968,62"
"ADEILDO ARAUJO DE OLIVEIRA - 08392821254";"1.110,00";"1.110,00";"1.110,00"
"ADEILSON DO NASCIMENTO VEIGA - 02813893226";"6.296,31";"6.296,31";"6.296,31"
"ADEJAISON PERES SABOIA - 06303693210";"320,00";"320,00";"0,00"
"ADEJANIA SOUSA LIMA - 00696914280";"9.600,00";"9.600,00";"9.600,00"
"ADEJANIO PESSOA CORREIA - 07236714275";"296,00";"296,00";"296,00"
"ADELAIDE MARIA DE ARAUJO V NASCIMENTO - 30813239249";"7.229,60";"7.229,60";"7.229,60"
"ADELCIANE FELIX DO NASCIMENTO - 79232264234";"320,00";"320,00";"320,00"
"ADELCIMAR ASSEN DE CARVALHO - 16458737220";"7.085,39";"7.085,39";"7.085,39"
"ADELCIMAR DOS SANTOS SILVA - 60073497215";"860,99";"860,99";"860,99"
"ADELCINEIDE MOURA DA SILVA - 99538202287";"296,00";"296,00";"296,00"
"ADELENE OLIVEIRA DE ANDRADE - 64343049272";"320,00";"320,00";"320,00"
"ADELIA KATRINNE TEMOTEO GONZAGA - 01243402296";"2.316,81";"2.316,81";"2.316,81"
"ADELIA WESEU LIMA - 13342428287";"1.280,00";"1.280,00";"1.280,00"
"ADELINO ALBUQUERQUE DA SILVA - 05450200269";"488,00";"488,00";"488,00"
"ADELINO DA SILVA KAXINAWA - 86528394253";"1.810,71";"1.810,71";"1.810,71"
"ADELIO JORGE PEREIRA DA SILVA - 43389066268";"15.000,00";"15.000,00";"15.000,00"
"ADEMAR DE ALMEIDA LIMA - 65202643268";"9.497,22";"9.497,22";"9.497,22"
"ADEMILSON NASCIMENTO OLIVEIRA - 70667332235";"1.056,00";"1.056,00";"1.056,00"
"ADEMILSON PESSOA DE OLIVEIRA - 94849188249";"1.842,50";"1.842,50";"1.842,50"
"ADEMIR ALVES DE LIMA - 07937598204";"1.272,52";"1.272,52";"1.272,52"
"ADEMIR BARBOSA VIDAL - 36043800225";"3.315,87";"3.315,87";"3.315,87"
"ADEMIR BORGES FILHO - 01176209000173";"117.996,00";"117.996,00";"117.996,00"
"ADEMIR SOUZA ROCHA - 01381504272";"379.465,49";"276.532,01";"207.909,69"
"ADENILSON DE SOUZA - 21514810263";"11.817,67";"11.817,67";"11.817,67"
"ADENILSON PEREIRA DE OLIVEIRA - 94735670220";"1.183,87";"1.183,87";"1.183,87"
"ADENI NEVES SILVA - 35960876272";"18.823,83";"18.823,83";"18.823,83"
"ADENISIO DA SILVA LIMA - 71203915268";"6.967,84";"6.967,84";"6.967,84"
"ADENIZO XAVIER - 89757750204";"917,77";"917,77";"917,77"
"ADER BARBOSA DERZE - 81252803753";"286,24";"286,24";"286,24"
"ADERLANDIA DE AGUIAR SILVA - 03731335298";"302,00";"302,00";"302,00"
"ADERLANDIO BARRETO DA SILVA - 03778191233";"23.542,85";"23.542,85";"23.542,85"
"ADERSON GOMES DA SILVA - 19667922200";"170.048,02";"170.048,02";"170.048,02"
"ADGILDO OLIVEIRA REBOUCAS - 66324858200";"3.721,23";"3.721,23";"3.721,23"
"ADIB ELIAS ALVES DA COSTA - 12889571220";"2.505,12";"2.505,12";"2.505,12"
"ADIEMIA MARIA SILVA MATIAS - 76508749234";"3.600,00";"3.600,00";"3.600,00"
"ADILA TATIANNE DA SILVA SILVANO LIMA - 77352092234";"3.315,87";"3.315,87";"3.315,87"
"AD-ILSON DA SILVA DANTAS - 50952803291";"1.001,87";"1.001,87";"1.001,87"
"ADILSON GOMES DA SILVA - 08652388806";"25.476,16";"25.476,16";"25.476,16"
"ADILSON MOURA DE OLIVEIRA - 44401574249";"2.543,00";"2.543,00";"0,00"
"ADIMAR ALVES SARAIVA - 19689489291";"3.617,96";"3.617,96";"3.617,96"
"ADINEI MELO SOARES SANTOS - 65835204272";"7.728,72";"7.728,72";"6.440,60"
"ADINILZA DE LIMA LOPES FERREIRA - 87263750287";"312,00";"312,00";"312,00"
"ADINN CONSTRUCAO E PAVIMENTACAO LTDA - 01287024000136";"1.713.217,46";"1.175.704,31";"1.175.704,31"
"ADJEMISSON COSTA DE MENDONCA - 67331327291";"28.571,43";"28.571,43";"28.571,43"
"ADJERBISSON COSTA MENDONÇA - SF - 04034484000140";"3.000,00";"3.000,00";"3.000,00"
"ADLER BELARMINO DO NASCIMENTO - 02392416222";"16.165,92";"16.165,92";"16.165,92"
"ADLER RYAN SILVA LEMOS DE MELO - 04734117250";"7.326,27";"7.326,27";"7.326,27"
"ADMILSON SILVA DOS SANTOS - 02195858222";"1.174,00";"1.174,00";"1.174,00"
"ADNA DE SALES THEODOSIO - 78997313215";"1.456,28";"1.456,28";"0,00"
"ADNA ROCHA DE ARAUJO MAIA - 56405200272";"7.873,25";"7.873,25";"7.873,25"
"ADNILSON FERREIRA LEMOS - 21727686268";"9.884,00";"9.884,00";"9.884,00"
"ADNO KENNEDY SILVA E SILVA - 41259270220";"43.879,77";"43.879,77";"0,00"
"ADOGLACI MOREIRA DINIZ - 00559742282";"1.940,05";"1.940,05";"1.940,05"
"ADONAI DE OLIVEIRA REBOUCAS - 23339039291";"11.277,90";"0,00";"0,00"
"ADONAI OLIVEIRA DE SOUZA - 93462816268";"20.824,96";"20.824,96";"0,00"
"ADONEX COMERCIO DE PRODUTOS PARA LABORATORIO LTDA - 08238866000147";"960,00";"0,00";"0,00"
"ADONIAS FERNANDES DE MORAIS - 04976869296";"1.145,00";"1.145,00";"1.145,00"
"ADONIAS PINHEIRO MAIA - 18306632249";"7.561,01";"7.561,01";"7.561,01"
"ADRIANA CONCEIÇÃO DOS SANTOS - 70224116207";"668,00";"668,00";"668,00"
"ADRIANA CUNHA - 80119069253";"2.421,90";"2.421,90";"2.421,90"
"ADRIANA CUNHA DE MENDONCA - 77069722249";"429,37";"429,37";"429,37"
"ADRIANA DA COSTA CARMO PESSOA - 92699251291";"320,00";"320,00";"320,00"
"ADRIANA DA COSTA MONTEIRO - 07298159275";"440,00";"440,00";"440,00"
"ADRIANA DA SILVA LIMA - 52237206287";"400,00";"400,00";"400,00"
"ADRIANA DA SILVA MELO - 62961004268";"7.957,24";"7.957,24";"7.957,24"
"ADRIANA DA SILVA MORAIS - 01834552230";"6.458,16";"6.458,16";"6.458,16"
"ADRIANA DA SILVA SOARES - 07564344245";"350,00";"350,00";"0,00"
"ADRIANA DE ARAUJO SARAIVA - 04003595297";"220,46";"220,46";"220,46"
"ADRIANA DE OLIVEIRA FREIRE - 75730235291";"785,32";"785,32";"785,32"
"ADRIANA DE SOUZA PONTES - 69594295287";"8.946,87";"8.946,87";"8.946,87"
"ADRIANA DO NASCIMENTO CASTRO - 93909659268";"2.316,81";"2.316,81";"2.316,81"
"ADRIANA DOS SANTOS PESSOA MAIA - 72389249353";"1.288,12";"1.288,12";"1.288,12"
"ADRIANA FERREIRA MOTA - 78254060282";"5.010,25";"5.010,25";"5.010,25"
"ADRIANA LATHIFA DA SILVA BRAGA - 04513325208";"1.001,88";"1.001,88";"1.001,88"
"ADRIANA LOFE DE SOUZA OLIVEIRA - 96177829287";"302,00";"302,00";"302,00"
"ADRIANA MARIA VIEIRA LOBAO - 47144297104";"3.793,27";"3.793,27";"3.793,27"
"ADRIANA NASCIMENTO DA SILVA - 00547259255";"4.260,84";"4.260,84";"4.260,84"
"ADRIANA PAULA BARBOSA MOURA - 39104745272";"572,50";"572,50";"572,50"
"ADRIANA ROCHA DO NASCIMENTO - 10561567247";"400,00";"400,00";"400,00"
"ADRIANA SALOMAO SILVA - 62978055200";"2.600,00";"2.600,00";"2.600,00"
"ADRIANA SILVA DE LIMA - 96843705200";"2.209,97";"2.209,97";"2.209,97"
"ADRIANA SOARES DE SOUZA - 01283908247";"280,00";"280,00";"280,00"
"ADRIANA VOLTOLINI MUNOZ - 16779773883";"5.797,24";"5.797,24";"1.860,62"
"ADRIAN CHALES SANTOS VEDA - 01345529201";"270,00";"270,00";"270,00"
"ADRIANE DE OLIVEIRA - 90283805234";"280,00";"280,00";"280,00"
"ADRIANE DE SOUZA BELFORT - 01198771208";"7.326,27";"7.326,27";"7.326,27"
"ADRIANE EDNA PIRES DE SOUZA - 01496340990";"3.077,62";"3.077,62";"3.077,62"
"ADRIAN FELIPE SANTANA PEREIRA - 02377603203";"720,00";"720,00";"720,00"
"ADRIANGELA COSTA DA PAIXAO - 51947153234";"1.456,28";"1.456,28";"1.456,28"
"ADRIAN KELVIN BARROSO DE OLIVEIRA - 05994119296";"610,00";"610,00";"610,00"
"ADRIAN MUNIZ VASCONCELOS - 08889827203";"364,00";"364,00";"364,00"
"ADRIANO ALEX SANTOS E ROSARIO - 51118149220";"538,13";"538,13";"538,13"
"ADRIANO ARAUJO CORDEIRO - 00669764213";"7.326,27";"7.326,27";"7.326,27"
"ADRIANO ARAUJO RODRIGUES - 65504593204";"19.037,17";"19.037,17";"19.037,17"
"ADRIANO COSTA LIMA - 10788435205";"90,00";"90,00";"90,00"
"ADRIANO DA SILVA ROCHA - 00427694264";"5.610,87";"5.610,87";"5.610,87"
"ADRIANO DA SILVA TELES - 01283748290";"5.058,36";"5.058,36";"5.058,36"
"ADRIANO DE ANDRADE NASCIMENTO - 01057253235";"2.172,50";"2.172,50";"2.172,50"
"ADRIANO DE SA OLIVEIRA - 97377686200";"376,87";"376,87";"376,87"
"ADRIANO DIAS - 48454702253";"12.594,99";"12.594,99";"12.594,99"
"ADRIANO FELIPE GONSALVES RODRIGUES - 00825903203";"1.837,50";"1.837,50";"1.837,50"
"ADRIANO JOSE DE ARAUJO SILVA - 93757441249";"917,77";"917,77";"917,77"
"ADRIANO JUNIO PAIVA MAGALHÃES - 03137920205";"3.220,87";"3.220,87";"3.220,87"
"ADRIANO LIMA DE SOUZA - 97251232200";"439,85";"439,85";"439,85"
"ADRIANO LUAN DE LIMA LOBATO - 03595507207";"7.326,27";"7.326,27";"7.326,27"
"ADRIANO MAGALHAES DA SILVA - 54912946168";"26.333,43";"26.333,43";"26.333,43"
"ADRIANO MORAES DA SILVA - 09686310290";"1.394,00";"1.394,00";"1.394,00"
"ADRIANO MOURA DE ANDRADE - 07566968289";"1.070,00";"1.070,00";"1.070,00"
"ADRIANO NASCIMENTO LIMA - 03367879282";"7.326,27";"7.326,27";"7.326,27"
"ADRIANO NASCIMENTO SILVA - 10607565284";"400,00";"400,00";"400,00"
"ADRIANO PEREIRA - 62234340225";"1.288,12";"1.288,12";"1.288,12"
"ADRIANO RAMOS DE ARAUJO - 05640738227";"0,00";"0,00";"0,00"
"ADRIANO RAMOS DE MELO - 58850341253";"1.614,44";"1.614,44";"1.614,44"
"ADRIANO SALES SANTOS - 91512069515";"3.220,87";"3.220,87";"3.220,87"
"ADRIANO SILVA DE ALMEIDA - 74495968220";"376,88";"376,88";"376,88"
"ADRIANO SOUZA DA SILVA - 09363852270";"160,00";"160,00";"160,00"
"ADRIAN ROCHA NASCIMENTO - 10307268250";"320,00";"320,00";"320,00"
"ADRIAN SILVA DOS SANTOS - 08685671248";"320,00";"320,00";"320,00"
"ADRIANY DE ASSIS VIEIRA - 93622783249";"2.146,88";"2.146,88";"2.146,88"
"ADRIANY GADELHA ROCHA - 01091658293";"50.384,00";"50.384,00";"50.384,00"
"ADRIEL ASAF MACIEL RIBEIRO - 03599873208";"600,00";"600,00";"600,00"
"ADRIEL DE SÁ OLIVEIRA - 02091530247";"1.547,76";"1.547,76";"1.547,76"
"ADRIEL DE SOUZA SILVA - 10666221243";"312,00";"312,00";"312,00"
"ADRIELE PEREIRA DA SILVA - 06818601200";"66,00";"66,00";"66,00"
"ADRIELE RODRIGUES SOARES - 10386867259";"630,00";"630,00";"630,00"
"ADRIELE VEIGA DE JESUS - 10110083270";"2.180,00";"2.180,00";"2.180,00"
"ADRIELI ALENCAR DO VALE - 02570098256";"9.538,06";"9.538,06";"9.538,06"
"ADRIELI DA SILVA VIEIRA - 03302630212";"420,00";"420,00";"420,00"
"ADRIELLE NASCIMENTO JULIAO - 10787072273";"70,00";"70,00";"70,00"
"ADRIELLY ALVES PEREIRA - 09958327228";"320,00";"320,00";"320,00"
"ADRIELLY FERNANDA DE MELO MACIEL - 05055166240";"1.996,00";"1.996,00";"1.996,00"
"ADRIELLY VAZ DE SOUZA SOLIZ - 01483389251";"2.316,81";"2.316,81";"2.316,81"
"ADRIEL NASCIMENTO DA SILVA - 01739425200";"380,00";"380,00";"380,00"
"ADRIEL NASCIMENTO DA SILVA - 08535244247";"560,00";"560,00";"560,00"
"ADRIELY ALBUQUERQUE CARVALHO - 05921464210";"312,00";"312,00";"312,00"
"ADRIELY ARAUJO SILVA - 09449204209";"460,00";"460,00";"460,00"
"ADRIELY GOMES DE ALMEIDA - 07365736232";"80,00";"80,00";"80,00"
"ADRIELY KATRINNY COELHO DA SILVA - 00234284226";"5.438,73";"5.438,73";"5.438,73"
"ADRINE CUNEGUNDES REGO - 96772514220";"3.442,95";"3.442,95";"3.442,95"
"ADRIO DE LIMA PASSOS - 04281614214";"8.717,93";"8.717,93";"8.717,93"
"ADRYANA LOREM MENDONCA MOREIRA SOMBRA - 02879142245";"753,38";"753,38";"753,38"
